,level_0,level_1,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak,name,hep/hhep,SAA/IS_SAA,hep avg,hep std,SAA avg,SAA std
153,4-11_0_E5_1,1,1538.717545375635,22333.20056073939,2343.0,9.702752429200023,,881.8681841236404,3982.782995782603,1.0,1.744838483888316,,0.0,4_11,,,,,,
154,4-11_0_E5_1,2,2790.887017912931,29938.119449150734,955.0,1.160353400064193,,306.1004800900857,1322.726206156718,0.4075970977379428,9.117551913318039,,0.0,4_11,,,,,,
155,4-11_0_E5_1,3,2820.345880507045,30093.310434127612,2319.0,11.36962379107428,,529.0622268638589,8938.203993072051,0.9897567221510883,5.3308396201809956,,0.0,4_11,,,,,,
156,4-11_0_E6_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4_11,0.13250254536237252,0.0,0.14024411325530806,0.01094823030822118,0.0,0.0
157,4-11_0_E6_1,1,1538.726310899772,22333.263138265524,1877.0,7.979250497928711,,927.6088468447996,2839.109837889505,0.7756198347107438,1.658809439057905,,0.0,4_11,,,,,,
158,4-11_0_E6_1,2,2791.715407965341,29942.4947712863,846.0,1.016997698166188,,185.4171274999271,1329.274234041343,0.3495867768595041,15.056405228618585,,0.0,4_11,,,,,,
159,4-11_0_E6_1,3,2820.388481517504,30093.534262137007,2420.0,12.38044996745995,,588.3500014838287,10032.06565131257,1.0,4.7937256299896935,,0.0,4_11,,,,,,
160,4-12_0_E7_1,0,1522.498524121185,22217.102096255192,870.0,1.423715622955998,,467.4058223255173,533.5314592632955,0.34346624555862615,3.257337524265723,,0.0,4_12,0.4503658114975996,0.12208448540948975,0.45323360799418,0.00405567669958847,0.06104224270474488,0.08632676751072033
161,4-12_0_E7_1,1,1538.720337401288,22333.220493173183,2363.0,11.72844856556803,,906.4693205858393,4370.182316563408,0.9328859060402684,1.697487496219765,,0.0,4_12,,,,,,
162,4-12_0_E7_1,2,2792.728643973204,29947.845502838718,1484.0,6.660527366832586,,570.2800819655047,4528.220556063184,0.5858665613896565,4.897117630950561,,0.0,4_12,,,,,,
163,4-12_0_E7_1,3,2820.833415816438,30095.87186855024,2533.0,15.73682981441289,,630.2479192569484,10054.53886698351,1.0,4.475752048721006,,0.0,4_12,,,,,,
164,4-12_0_E8_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4_12,0.45610140449076036,0.0,0.45323360799418,0.00405567669958847,0.06104224270474488,0.08632676751072033
165,4-12_0_E8_1,1,1538.667523673585,22332.843449798555,1396.0,6.485527293362825,,644.3192305628736,2104.067143131565,0.5633575464083939,2.388051528943834,,0.0,4_12,,,,,,
166,4-12_0_E8_1,2,2792.078207352366,29944.410767883383,1434.0,7.894104361854518,,560.7876097708935,4983.230521775915,0.5786924939467313,4.978851455889072,,0.0,4_12,,,,,,
167,4-12_0_E8_1,3,2820.202781271009,30092.558570465997,2478.0,18.50622154691427,,591.6642592239643,10925.70746924079,1.0,4.7665593067426935,,0.0,4_12,,,,,,
168,4-13_0_E10_1,0,1522.778409666862,22219.11084629186,875.0,1.082703208350077,,314.6161617601182,395.2683255485883,0.26299969942891493,4.8401150187189605,,0.0,4_13,0.0563451471388787,0.10740783291929051,0.06774883599562226,0.016127251442289707,0.11286102282111692,0.007711975117358946
169,4-13_0_E10_1,1,1538.60769053599,22332.416286138254,2075.0,9.10071142151333,,659.1643791503654,3680.069831085828,0.6236850015028554,2.334179059431563,,0.0,4_13,,,,,,
170,4-13_0_E10_1,2,2791.404092781729,29940.850569669972,857.0,1.122069796219799,,257.3256566285288,889.2449743856719,0.2575894198978058,10.847748838396457,,0.0,4_13,,,,,,
171,4-13_0_E10_1,3,2820.168495389649,30092.37842471546,3327.0,22.52663581648914,,577.1204753077898,15782.10404161114,1.0,4.88662006643517,,0.0,4_13,,,,,,
172,4-13_0_E9_1,0,1522.694788053673,22218.51071008133,963.0,1.243276407024128,,640.0270219634288,642.7940544554704,0.2995334370139969,2.3791101559781955,,0.0,4_13,0.07915252485236582,0.11831421272294332,0.06774883599562226,0.016127251442289707,0.11286102282111692,0.007711975117358946
173,4-13_0_E9_1,1,1538.736925550338,22333.338916558983,2948.0,12.4582109616944,,882.8029598945068,5432.940300762536,0.9169517884914463,1.7430128754147063,,0.0,4_13,,,,,,
