,,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak
STD_0_E5_1,12,1068.5375361211054,35060.38201797431,18674.2728806807,34.5208086664367,1009.696595714628,2901.381262904511,13187.729578646455,0.062101392571784604,0.3682858057239314,7915701.457420622,0.0
STD_0_E5_1,13,1070.5914268702913,35093.83284703657,12602.55144715663,22.77175631104306,86.17319417280501,4547.443333201361,5616.592368256691,0.041909851046230295,0.23542710671154293,9396831.708126333,0.0
STD_0_E5_1,14,1296.6719680302435,38597.371458959,124271.0885914876,255.5167879171502,28603.00809005072,3895.17106769511,94662.17678615914,0.41326415798105687,0.33289217482238165,31734659.16188345,0.0
STD_0_E5_1,15,1305.8829023467874,38733.32740457061,15940.3507096685,31.2979412626175,3618.687850093623,2040.634171641936,22100.74387395594,0.05300972002916159,0.639939740544503,1917987.304379629,0.0
STD_0_E5_1,16,1318.651370693635,38921.00018983052,7226.742975091594,13.11903989399684,3895.224381318114,4416.772580503559,4349.056318574936,0.024032571730053392,0.2985554149911189,104073.5998166821,0.0
STD_0_E5_1,17,1332.3792565502197,39121.76028315551,9251.616011009359,20.74191394715176,593.1862984093482,892.0779675760768,28992.819540329667,0.030766297648862326,1.4935681689017768,2767101.275133309,0.0
STD_0_E5_1,18,1334.6961802741807,39155.54102314627,5087.241302153096,8.700048133605415,214.8727321533233,8032.173678447034,1608.8053406628637,0.016917647676619484,0.1661687400828508,340021.8838707971,0.0
STD_0_E5_1,19,1347.7316880380863,39345.05265531202,300706.1855995359,635.9501198823322,8816.340862154908,2254.884553321952,418717.6690026955,1.0,0.5976943192291484,854559765.6827477,0.0
STD_0_E5_1,20,1349.6984590544416,39373.565801385404,65116.48740993969,136.1553250315787,1898.939745738003,5386.189972850728,38943.40532344882,0.216545220977457,0.2505850083004206,106293711.5013012,0.0
STD_0_E5_1,21,1352.403975968124,39412.75483034448,7073.694409190855,12.90829248890069,452.063552684511,3235.067775530431,7267.187340221319,0.023523607920095186,0.4180450209412939,1505522.623075881,0.0
STD_0_E5_1,22,1363.7392368576063,39576.51840283001,106168.765881011,225.7410347438056,31703.8009135682,4050.442904073191,85544.52362152183,0.35306478870508096,0.3366889175221327,22695390.76484778,0.0
STD_0_E5_1,23,1369.7103679864954,39662.51033118605,27918.29007819957,58.01002637555249,16216.44294360258,4244.867545947132,21078.271218870603,0.09284242032646321,0.3226744658485875,1960001.853759228,0.0
STD_0_E5_1,24,1385.7119952235275,39892.03121421655,10115.59357080434,19.9510575661906,10935.77284756199,4729.426225742499,6588.564817281716,0.033639459562949385,0.29299790906580364,172170.6599270241,0.0
STD_0_E5_1,25,1444.769293135754,40727.821506578606,4501.676296774029,8.732360286078988,3537.317652596864,5342.20829099284,2642.749911851403,0.014970348174909564,0.27044420854418727,30316.15553965351,0.0
STD_0_E5_1,26,1475.7793333455888,41159.82090115308,9287.50034575841,20.15728425490901,12554.85473446118,5317.981695677133,6193.247197746798,0.030885631192592085,0.2775074112318244,143043.7208594402,0.0
STD_0_E5_1,27,1574.8993119374798,42510.946294406625,6679.330010180918,15.14197981748753,170.2970462456339,1199.066544367708,18380.20466099532,0.022212147039356502,1.3134377898667466,4202900.559206449,0.0
STD_0_E5_1,28,1577.9228617879598,42551.48023946044,7431.300795815759,14.64016540880966,388.7906018818753,2345.897848586866,10608.887089431142,0.024712829837535703,0.6726306785858033,1344551.838391027,0.0
STD_0_E5_1,29,1582.6349959022352,42614.57387894491,5655.559869016306,11.03476104181499,253.7707002216546,1906.707841052209,10494.821778988116,0.018807594056439107,0.8300353949501065,1557478.972376641,0.0
STD_0_E5_1,30,1590.7272933841307,42722.707112021875,8335.703287742797,16.73831789166587,114.4733393691695,3907.608197707457,7503.576943068766,0.027720425075804172,0.40708464434008246,4923717.875296826,0.0
STD_0_E5_1,31,1598.7315791499407,42829.393170282914,4750.866970958871,7.997669703975146,122.1209812012074,3552.619170891784,3967.7834597894816,0.01579903307105833,0.4500149051294526,1023769.173292371,0.0
STD_0_E5_1,32,1609.9131600380217,42977.980600144976,22127.71211328543,51.0778627274748,3049.973007156649,2083.019741687442,43464.82694241283,0.07358582288278537,0.7728746529948105,5158870.677140323,0.0
STD_0_E5_1,33,1610.8853212394579,42990.87475466472,12385.66276713585,26.49300204654369,178.216304630862,11865.75032110126,4041.647213175892,0.04118858660137574,0.13575924637271075,3653269.061394014,0.0
STD_0_E5_1,34,1619.8167834706799,43109.15405009401,76212.62706015265,183.4789953154504,29813.13772577879,4444.795123572452,76273.96992562842,0.2534454916788725,0.3644300217303989,15708438.08541473,0.0
STD_0_E5_1,35,1623.7933017422906,43161.70978991603,5549.729200927184,9.97616093651037,451.0625964116619,3034.696997933098,6099.354061004775,0.018455653613717184,0.535075924498637,447186.4614420023,0.0
STD_0_E5_1,36,1635.821399808306,43320.287646212666,38009.5287088863,89.40823333377976,19584.72961466465,4716.335293758133,35745.249264009755,0.12640088740810046,0.34684162552506503,4626622.805520942,0.0
STD_0_E5_1,37,1639.8109541255383,43372.756484267244,13963.18489084554,30.50034816760898,17701.09957986404,4532.551971392743,12731.109928988597,0.04643464471143586,0.3617853616406883,419812.2352363858,0.0
STD_0_E5_1,38,1641.7960990469098,43398.84036716078,8454.210591029034,17.03738625630161,9988.136146555742,6679.689173530685,4825.357940095033,0.028114521735472017,0.2457892959380182,66701.81759336077,0.0
STD_0_E5_1,39,1651.804040098277,43530.09981362235,38547.43754705828,90.79485015904517,17042.37384966044,4628.933740460935,37534.34299301081,0.128189706075397,0.3568433105144848,5773589.227882721,0.0
STD_0_E5_1,40,1657.800652484171,43608.55750093716,4299.861849541005,7.090891546065466,1513.88784317764,6348.158523941464,2198.5839145292684,0.014299213170384618,0.2611467004536728,40843.8381581049,0.0
STD_0_E5_1,41,1667.8207872500548,43739.34063162807,101776.5993098137,243.6057601982156,32909.52301660829,4302.993884739797,112198.47487036086,0.33845861569789665,0.3875954351608167,31026103.19168747,0.0
STD_0_E5_1,42,1689.7926048086988,44024.74491027549,7629.059122966161,16.31500494812994,14893.37642734298,5881.487735353619,5715.44078350875,0.025370476193416674,0.28730700136486836,82274.47701527952,0.0
STD_0_E5_1,43,1951.9007161642608,47295.632221733074,6316.656824224546,18.61561627308858,2282.136598447374,2244.692139899712,15529.178706349292,0.02100607545412027,0.8695627705327411,361530.9595054215,0.0
STD_0_E5_1,44,2048.065353485075,48439.86462754779,6941.906774685827,18.70718533837652,633.4112319441343,10771.08313571328,3505.73405608114,0.023085347449189757,0.19014479116723004,1744943.953559153,0.0
STD_0_E5_1,45,2050.078805282657,48463.53085110851,5895.040469686689,14.48388957348536,331.2131413570301,2991.783973921859,9136.057792895004,0.019603988052102735,0.6852362413704814,942341.4300800075,0.0
STD_0_E5_1,46,2051.067998864523,48475.153618423225,7840.022642924695,20.98222437269068,371.2444888253644,10325.08530564169,3888.6428828467247,0.026072036487355836,0.1986490123954527,855791.9653368122,0.0
STD_0_E5_1,47,2054.9974996933956,48521.29650078093,7170.220814960104,19.677159261793,9510.144535861906,3477.006921622712,11014.77974197918,0.023844606989591538,0.5910248515508656,124589.2672056112,0.0
STD_0_E5_1,48,2077.4151851249558,48783.69848056718,5159.797189016279,15.71424338387079,357.570114171615,529.4410564891496,43671.37857512838,0.0171589326595623,3.9237893617483945,2702649.21357996,0.0
STD_0_E5_1,49,2083.30567025602,48852.4115887054,8867.893641625637,29.10771738279579,931.6163193987222,2080.900266945583,23583.285938847755,0.02949022689355454,1.0011559435829993,1565028.27289225,0.0
STD_0_E5_1,50,2093.1394561876195,48966.90704504345,145149.521095653,521.2224840933023,10012.83266990696,2782.14969476198,345817.45801725663,0.4826954949605035,0.7523460941474226,190438063.9901904,0.0
STD_0_E5_1,51,2097.4079229350555,49016.521164096346,6612.706337502718,24.61804257413661,136.7714211493934,1298.565389426176,26306.0444570431,0.021990589665851306,1.6151731287570206,10809012.81422187,0.0
STD_0_E5_1,52,2107.00022315254,49127.83200791725,5983.008993766052,15.58448825179889,192.9410153188576,6447.886149157822,5027.729108598611,0.019896527841079724,0.3267737944516501,4658536.829169717,0.0
STD_0_E5_1,53,2109.04905234231,49151.57406005358,22442.77438663603,75.17307354493006,10275.57796969838,4295.934770880091,33393.99528645841,0.0746335641280226,0.4909406601418759,4429294.869150537,0.0
STD_0_E5_1,54,2113.059093361164,49198.00940971654,4377.080328034108,9.723140792126484,123.4991733462213,3886.082366728491,4680.759303055899,0.014556003626288104,0.5437504648518422,868198.2437468006,0.0
STD_0_E5_1,55,2115.0404457720347,49220.936708304806,10641.62223925131,32.53184347516605,7060.250483988847,5264.22274363849,11802.743377839368,0.03538877066341177,0.4017763967772715,757732.3383995948,0.0
STD_0_E5_1,56,2125.047473235231,49336.56927164129,10784.3807497348,33.33282711103401,3552.84326484908,4770.743858820076,13141.737743787531,0.03586351484002012,0.44543315175189646,1152677.383697318,0.0
STD_0_E5_1,57,2131.0342062288178,49405.616323910996,3737.53657286744,8.096260228834929,553.2443504205569,8566.654140664405,1799.8255218697207,0.012429197508576986,0.24875922048879878,81179.45171631147,0.0
STD_0_E5_1,58,2141.069325364118,49521.13707934999,24410.93749384241,85.6861796208422,27147.61247944148,5440.152257399147,29877.081838756716,0.0811787008809708,0.39356790473135217,1991122.331804058,0.0
STD_0_E5_1,59,2194.118160260888,50127.35706380806,2550.599650157733,7.170737795822534,914.8495029078877,5760.660820640167,2244.4498818958796,0.008482032536419062,0.38087959499359336,45028.58840368339,0.0
STD_0_E5_1,60,2465.1495678350816,53115.89976318218,39125.65314095342,205.5386694609592,44694.35548769125,5289.366421265316,62736.73722071461,0.13011256507060628,0.4660576279843686,5568451.371938757,0.0
STD_0_E5_1,61,2487.1005375827367,53350.56019160698,2065.377955697368,6.833409949090341,961.8337445134138,7520.954240177469,1448.0222963471156,0.0068684252423324805,0.33068949207222537,21356.97618236755,0.0
STD_0_E5_1,62,3087.592067396109,59409.21474780353,1808.437888520746,6.090126428312226,1120.19984184193,1650.988945670554,2840.579234454425,0.006013969699077374,1.8701470264188078,9475.26662724036,0.0
STD_0_E5_1,63,3102.25217171987,59549.37246225135,4366.666914944397,23.72887877654291,240.3660002011184,6407.823688454925,4196.341461364833,0.014521373766350407,0.4841350702749899,1112601.879311458,0.0
