,,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak,name,hep/hhep,SAA/IS_SAA
3-7_0_C10_1,3,2820.43874,30093.79832,5486,17.20965873,,547.4832123,27342.1591,1,5.151644246,,0,3_7,0.235226226,0
3-7_0_C9_1,0,1526,0,0,0,0,0,0,0,0,0,0,3_7,0.250322367,0
3-7_0_C9_1,1,1538.657558,22332.7723,4228,9.842718534,,631.6018039,8478.307401,1,2.436119638,,0,3_7,0.250322367,0
3-7_0_C9_1,2,2792.436221,29946.30136,1768,3.655592394,,546.4916693,4704.629192,0.418164617,5.109750757,,0,3_7,0.250322367,0
3-7_0_C9_1,3,2820.35164,30093.3407,4119,15.85762647,,541.1774515,18794.28212,0.974219489,5.21150989,,0,3_7,0.250322367,0
4-10_0_C11_1,0,1522.606409,22217.87641,1219,1.630464515,,599.6074641,770.4849586,0.296738072,2.539338651,,0,4_10,0.084411858,0.092905352
4-10_0_C11_1,1,1538.551828,22332.01746,4108,15.33327057,,673.2605893,8293.224647,1,2.285224849,,0,4_10,0.084411858,0.092905352
4-10_0_C11_1,2,2791.619102,29941.98615,1126,1.860998191,,531.4153269,1452.532635,0.274099318,5.25317762,,0,4_10,0.084411858,0.092905352
4-10_0_C11_1,3,2820.123933,30092.14428,3906,23.48223013,,601.2892674,17207.68459,0.950827653,4.690128505,,0,4_10,0.084411858,0.092905352
4-10_0_C12_1,0,1522.470107,22216.89813,1348,1.675217483,,535.4317369,1112.676306,0.274039439,2.843443901,,0,4_10,0.09523087,0.101012272
4-10_0_C12_1,1,1538.480882,22331.51094,4910,15.91732224,,666.1871198,11015.25871,0.99817036,2.309382508,,0,4_10,0.09523087,0.101012272
4-10_0_C12_1,2,2791.865339,29943.2866,1259,2.09587833,,345.3932756,2308.165042,0.255946331,8.083149084,,0,4_10,0.09523087,0.101012272
4-10_0_C12_1,3,2820.1055,30092.04743,4919,26.0491012,,560.7666259,24237.57176,1,5.02901808,,0,4_10,0.09523087,0.101012272
4-11_0_E5_1,0,1526,0,0,0,0,0,0,0,0,0,0,4_11,0.147985681,0
4-11_0_E5_1,1,1538.717545,22333.20056,2343,9.702752429,,881.8681841,3982.782996,1,1.744838484,,0,4_11,0.147985681,0
4-11_0_E5_1,2,2790.887018,29938.11945,955,1.1603534,,306.1004801,1322.726206,0.407597098,9.117551913,,0,4_11,0.147985681,0
4-11_0_E5_1,3,2820.345881,30093.31043,2319,11.36962379,,529.0622269,8938.203993,0.989756722,5.33083962,,0,4_11,0.147985681,0
4-11_0_E6_1,0,1526,0,0,0,0,0,0,0,0,0,0,4_11,0.132502545,0
4-11_0_E6_1,1,1538.726311,22333.26314,1877,7.979250498,,927.6088468,2839.109838,0.775619835,1.658809439,,0,4_11,0.132502545,0
4-11_0_E6_1,2,2791.715408,29942.49477,846,1.016997698,,185.4171275,1329.274234,0.349586777,15.05640523,,0,4_11,0.132502545,0
4-11_0_E6_1,3,2820.388482,30093.53426,2420,12.38044997,,588.3500015,10032.06565,1,4.79372563,,0,4_11,0.132502545,0
4-12_0_E7_1,0,1522.498524,22217.1021,870,1.423715623,,467.4058223,533.5314593,0.343466246,3.257337524,,0,4_12,0.450365811,0.122084485
4-12_0_E7_1,1,1538.720337,22333.22049,2363,11.72844857,,906.4693206,4370.182317,0.932885906,1.697487496,,0,4_12,0.450365811,0.122084485
4-12_0_E7_1,2,2792.728644,29947.8455,1484,6.660527367,,570.280082,4528.220556,0.585866561,4.897117631,,0,4_12,0.450365811,0.122084485
4-12_0_E7_1,3,2820.833416,30095.87187,2533,15.73682981,,630.2479193,10054.53887,1,4.475752049,,0,4_12,0.450365811,0.122084485
4-12_0_E8_1,0,1526,0,0,0,0,0,0,0,0,0,0,4_12,0.456101404,0
4-12_0_E8_1,1,1538.667524,22332.84345,1396,6.485527293,,644.3192306,2104.067143,0.563357546,2.388051529,,0,4_12,0.456101404,0
4-12_0_E8_1,2,2792.078207,29944.41077,1434,7.894104362,,560.7876098,4983.230522,0.578692494,4.978851456,,0,4_12,0.456101404,0
4-12_0_E8_1,3,2820.202781,30092.55857,2478,18.50622155,,591.6642592,10925.70747,1,4.766559307,,0,4_12,0.456101404,0
4-13_0_E10_1,0,1522.77841,22219.11085,875,1.082703208,,314.6161618,395.2683255,0.262999699,4.840115019,,0,4_13,0.056345147,0.107407833
4-13_0_E10_1,1,1538.607691,22332.41629,2075,9.100711422,,659.1643792,3680.069831,0.623685002,2.334179059,,0,4_13,0.056345147,0.107407833
4-13_0_E10_1,2,2791.404093,29940.85057,857,1.122069796,,257.3256566,889.2449744,0.25758942,10.84774884,,0,4_13,0.056345147,0.107407833
4-13_0_E10_1,3,2820.168495,30092.37842,3327,22.52663582,,577.1204753,15782.10404,1,4.886620066,,0,4_13,0.056345147,0.107407833
4-13_0_E9_1,0,1522.694788,22218.51071,963,1.243276407,,640.027022,642.7940545,0.299533437,2.379110156,,0,4_13,0.079152525,0.118314213
4-13_0_E9_1,1,1538.736926,22333.33892,2948,12.45821096,,882.8029599,5432.940301,0.916951788,1.743012875,,0,4_13,0.079152525,0.118314213
4-13_0_E9_1,2,2791.809648,29942.99248,923,1.401385271,,361.0018486,1098.421398,0.287091757,7.733505131,,0,4_13,0.079152525,0.118314213
4-13_0_E9_1,3,2820.29359,30093.03569,3215,20.41770903,,564.3268316,13877.27555,1,4.997624483,,0,4_13,0.079152525,0.118314213
4-2_0_D1_1,0,1522.525815,22217.29798,1366,1.456747344,,608.6165293,1026.362808,0.238186574,2.50161759,,0,4_2,0.114368305,0.081027833
4-2_0_D1_1,1,1538.440943,22331.22579,5735,17.56290618,,672.8855939,12666.79324,1,2.286333601,,0,4_2,0.114368305,0.081027833
4-2_0_D1_1,2,2791.931208,29943.63446,1441,2.534830389,,520.0258152,2595.496684,0.251264167,5.368831943,,0,4_2,0.114368305,0.081027833
4-2_0_D1_1,3,2820.033553,30091.6694,4931,23.99538678,,543.8979053,22694.1956,0.859808195,5.184858272,,0,4_2,0.114368305,0.081027833
4-2_0_D2_1,0,1522.409638,22216.46412,1080,1.065194682,,438.9836769,570.4743798,0.295728368,3.468032454,,0,4_2,0.10984378,0.080050127
4-2_0_D2_1,1,1538.505756,22331.68853,3652,12.12448448,,677.5740461,7126.464352,1,2.270609042,,0,4_2,0.10984378,0.080050127
4-2_0_D2_1,2,2792.060141,29944.31536,1080,1.503290007,,476.7618397,1609.072318,0.295728368,5.856299537,,0,4_2,0.10984378,0.080050127
4-2_0_D2_1,3,2820.048107,30091.74587,3349,16.44372663,,570.2047279,14648.73404,0.917031763,4.945676471,,0,4_2,0.10984378,0.080050127
4-3_0_D3_1,0,1526,0,0,0,0,0,0,0,0,0,0,4_3,0,0
4-3_0_D3_1,1,1538.54593,22331.97535,4610,18.23646271,,879.9086266,9688.200174,1,1.748529204,,0,4_3,0,0
4-3_0_D3_1,2,2791,0,0,0,0,0,0,0,0,0,0,4_3,0,0
4-3_0_D3_1,3,2820.242066,30092.76498,4449,17.73701269,,572.7344352,19131.11984,0.965075922,4.924170597,,0,4_3,0,0
